model_key,relation_key,n_total,n_train,n_test,core_q,thr_train_delta,delta_mean_test,delta_mean_test_core,delta_mean_test_periphery,core_frac_test,gap_core_minus_periphery,gap_core_minus_all,pos_share_core
llama3_1_8b_instruct,person_mother,994,745,249,0.3,0.5262869358062744,0.4936686408328244,0.551613493822515,0.4736228538526071,0.2570281124497992,0.0779906399699079,0.0579448529896906,0.28719704553211095
llama3_1_8b_instruct,person_native_language,919,689,230,0.3,0.8402331709861756,0.816081614597984,0.8539854851928917,0.7981015734183483,0.3217391304347826,0.05588391177454344,0.03790387059490774,0.33668268282852903
llama3_1_8b_instruct,person_occupation,821,615,206,0.3,0.8086306095123291,0.7737686486498824,0.8291315460205078,0.7560241302618613,0.24271844660194175,0.07310741575864643,0.055362897370625386,0.26008487321101625
llama3_1_8b_instruct,person_plays_instrument,513,384,129,0.3,0.8043790757656097,0.7849684875140819,0.8188170225192339,0.7703007890118493,0.3023255813953488,0.048516233507384654,0.03384853500515206,0.3153621276868072
llama3_1_8b_instruct,person_plays_position_in_sport,952,714,238,0.3,0.8172109067440033,0.7718901954779104,0.8347831813257132,0.7472479144732157,0.2815126050420168,0.08753526685249746,0.06289298584780278,0.3044500233284657
llama3_1_8b_instruct,person_plays_pro_sport,318,238,80,0.3,0.7914892971515656,0.7754021942615509,0.8022807240486145,0.7670301931803344,0.2375,0.03525053086828012,0.02687852978706362,0.24573269636283018
llama3_1_8b_instruct,person_university,91,68,23,0.3,0.7109067976474762,0.6718930887139362,0.7257941450391497,0.6483113765716553,0.30434782608695654,0.07748276846749447,0.05390105632521358,0.32876342075808096
llama3_1_8b_instruct,pokemon_evolutions,44,33,11,0.3,0.5966569900512695,0.5809087590737776,0.6114680469036102,0.5634463088853019,0.36363636363636365,0.048021738018308335,0.030559287829832638,0.382765819214681
llama3_1_8b_instruct,product_by_company,522,391,131,0.3,0.7251566648483276,0.6758497992089687,0.7424665917741492,0.6385761176546415,0.35877862595419846,0.10389047411950769,0.0666167925651805,0.39414252090539215
llama3_1_8b_instruct,star_constellation,362,271,91,0.3,0.6912356615066528,0.6618081396752662,0.7154757738113403,0.6414794903812986,0.27472527472527475,0.07399628343004172,0.053667634136074116,0.29700341645245715
llama3_1_8b_instruct,substance_phase,50,37,13,0.3,0.7865843296051025,0.7807377118330735,0.8046265244483948,0.7701204617818197,0.3076923076923077,0.03450606266657508,0.023888812615321275,0.3171069981449816
llama3_1_8b_instruct,superhero_archnemesis,96,72,24,0.3,0.575166004896164,0.5370672605931759,0.5954428315162659,0.5130302608013153,0.2916666666666667,0.08241257071495056,0.05837557092308998,0.3233688563832699
llama3_1_8b_instruct,superhero_person,100,75,25,0.3,0.6551210641860962,0.6031408023834228,0.6647489468256632,0.5947396917776628,0.12,0.07000925504800037,0.06160814444224039,0.13225746509580205
llama3_1_8b_instruct,task_done_by_person,32,24,8,0.3,0.6597168326377869,0.6274230554699898,0.6716477274894714,0.6211052451814923,0.125,0.050542482307979086,0.04422467201948166,0.13381077600550434
llama3_1_8b_instruct,task_done_by_tool,52,39,13,0.3,0.6325976371765136,0.591579414330996,0.6516638199488322,0.5735540926456452,0.23076923076923078,0.078109727303187,0.06008440561783612,0.25420755828665265
llama3_1_8b_instruct,verb_past_tense,76,57,19,0.3,0.6780638694763184,0.6629680238272014,0.6857511252164841,0.6568925301233928,0.21052631578947367,0.0288585950930913,0.022783101389282634,0.2177611178091166
llama3_1_8b_instruct,word_first_letter,241,180,61,0.3,0.7937499523162842,0.7650341650501626,0.8064390397988833,0.7342762580939701,0.4262295081967213,0.07216278170491319,0.04140487474872068,0.4492977320843916
llama3_1_8b_instruct,word_last_letter,241,180,61,0.3,0.7764424562454224,0.7574681668985085,0.7869063427573756,0.7441508968671163,0.3114754098360656,0.04275544589025926,0.0294381758588671,0.3235805626215758
llama3_1_8b_instruct,word_sentiment,60,45,15,0.3,0.8162673592567444,0.8026291608810425,0.8265012502670288,0.7966611385345459,0.2,0.02984011173248291,0.023872089385986284,0.20594847298091737
llama3_1_8b_instruct,work_location,38,28,10,0.3,0.6929497718811035,0.6527261197566986,0.7251036167144775,0.621707192489079,0.3,0.10339642422539852,0.07237749695777895,0.33326548215264806
mistral_7b_instruct,adj_antonym,100,75,25,0.3,0.6287883520126343,0.5950385224819184,0.6396245002746582,0.5838920280337334,0.2,0.05573247224092481,0.04458597779273987,0.2149859130487118
mistral_7b_instruct,adj_comparative,68,51,17,0.3,0.6681443452835083,0.6131730851005105,0.6773680150508881,0.6046137611071268,0.11764705882352941,0.07275425394376123,0.06419492995037757,0.12996388238209516
mistral_7b_instruct,adj_superlative,80,60,20,0.3,0.6572167336940765,0.5998723044991493,0.6705834269523621,0.596150666475296,0.05,0.07443276047706604,0.07071112245321276,0.05589384790086713
mistral_7b_instruct,characteristic_gender,30,22,8,0.3,0.7966815888881683,0.7798167616128922,0.8000401854515076,0.7730756203333536,0.25,0.026964565118153927,0.020223423838615417,0.2564833896993915
mistral_7b_instruct,company_ceo,298,223,75,0.3,0.5059002757072448,0.46734828273455303,0.5330333262681961,0.4495353895728871,0.21333333333333335,0.08349793669530903,0.06568504353364307,0.24331698750487601
mistral_7b_instruct,company_hq,674,505,169,0.3,0.6762344002723694,0.6031974929676959,0.7066062918076148,0.5572380268166208,0.3076923076923077,0.14936826499099398,0.10340879883991894,0.3604413531072698
mistral_7b_instruct,country_currency,30,22,8,0.3,0.5760173976421357,0.5317971780896187,0.588934063911438,0.5127515494823456,0.25,0.07618251442909241,0.057136885821819305,0.2768602806558098
mistral_7b_instruct,degree_gender,38,28,10,0.3,0.8129686534404754,0.7941269040107727,0.8212020099163055,0.7873581275343895,0.2,0.033843882381916046,0.02707510590553286,0.20681883607488646
mistral_7b_instruct,food_from_country,30,22,8,0.3,0.7444610118865966,0.7264295741915703,0.7588273286819458,0.7218013235500881,0.125,0.03702600513185772,0.03239775449037552,0.13057482714797755
mistral_7b_instruct,fruit_inside_color,36,27,9,0.3,0.6976623773574829,0.6805004742410448,0.7025840679804484,0.669458677371343,0.3333333333333333,0.033125390609105354,0.022083593739403606,0.344150662919098
mistral_7b_instruct,fruit_outside_color,30,22,8,0.3,0.6823607861995697,0.6535813882946968,,0.6535813882946968,0.0,,,0.0
mistral_7b_instruct,landmark_in_country,836,627,209,0.3,0.7519975423812866,0.6936495067400225,0.7808333311164588,0.6609555725988588,0.2727272727272727,0.11987775851759996,0.08718382437643635,0.3070059774867799
mistral_7b_instruct,landmark_on_continent,947,710,237,0.3,0.7449728906154632,0.6955813226066058,0.7576381375915126,0.6662874223652834,0.3206751054852321,0.09135071522622917,0.06205681498490678,0.3492843781103069
mistral_7b_instruct,name_birthplace,31,23,8,0.3,0.8331072092056274,0.7908815890550613,0.8384857773780823,0.7750135262807211,0.25,0.06347225109736121,0.047604188323020935,0.2650478241565523
mistral_7b_instruct,name_religion,31,23,8,0.3,0.7758140087127685,0.7218347117304802,0.7855921785036722,0.6835802316665649,0.375,0.10201194683710735,0.06375746677319205,0.4081226105525308
mistral_7b_instruct,object_superclass,76,57,19,0.3,0.7821437835693359,0.7747995382861087,0.8124919931093851,0.7408763289451599,0.47368421052631576,0.07161566416422527,0.03769245482327643,0.4967280042090754
mistral_7b_instruct,occupation_age,45,33,12,0.3,0.806568717956543,0.7538377543290457,0.8213911652565002,0.7403270721435546,0.16666666666666666,0.0810640931129456,0.0675534109274546,0.18160211100676005
mistral_7b_instruct,person_father,991,743,248,0.3,0.4532582402229309,0.4101126528675518,0.48552216526488184,0.3798636394200352,0.2862903225806452,0.10565852584484664,0.07540951239733007,0.33893198939811126
mistral_7b_instruct,person_mother,994,745,249,0.3,0.4164403200149536,0.37199945891477976,0.4421442511181037,0.3552484637617472,0.1927710843373494,0.0868957873563565,0.07014479220332392,0.22912029756765812
mistral_7b_instruct,person_native_language,919,689,230,0.3,0.8313653349876404,0.8009239233058432,0.8477105819261991,0.77691498006645,0.3391304347826087,0.07079560185974909,0.046786658620355914,0.35894103029392277
mistral_7b_instruct,person_occupation,821,615,206,0.3,0.7712353706359864,0.7168744381481004,0.7908961302959002,0.6918801005397525,0.2524271844660194,0.09901602975614776,0.07402169214779986,0.27849184285521894
mistral_7b_instruct,person_plays_instrument,513,384,129,0.3,0.7624508678913117,0.7266291795774947,0.7779822877862237,0.7000463941517998,0.34108527131782945,0.07793589363442388,0.05135310820872896,0.36519081144570165
mistral_7b_instruct,person_plays_position_in_sport,952,714,238,0.3,0.7051973402500152,0.6774720652263706,0.7172198303540548,0.6591832162412398,0.31512605042016806,0.05803661411281502,0.03974776512768419,0.3336147186334181
mistral_7b_instruct,person_plays_pro_sport,318,238,80,0.3,0.7982065260410309,0.7796016797423363,0.8122296035289764,0.7701290567075053,0.225,0.04210054682147113,0.032627923786640145,0.23441670989526392
